FID,daolu,duanlie,jianghe,jiangshui,ndvi,podu,poxiang,tudi,yantu,landslide
0,4,1,5,4,5,6,8,4,7,0
1,5,1,5,4,5,5,2,4,2,0
2,4,1,5,2,2,1,1,3,1,0
3,5,3,5,4,4,2,2,4,7,0
4,5,3,5,4,5,3,8,4,2,0
5,5,1,5,4,5,3,4,4,7,0
6,5,1,5,4,5,2,6,4,2,0
7,5,1,5,4,5,6,8,4,7,0
8,5,3,5,4,5,3,8,4,2,0
9,5,1,4,2,1,1,1,3,1,0
10,3,2,1,2,2,1,1,3,1,0
11,5,4,5,4,5,2,2,4,7,0
12,5,1,5,4,5,5,3,4,7,0
13,5,1,5,4,5,5,2,4,6,0
14,5,1,5,4,5,2,5,4,6,0
15,5,3,5,4,4,2,2,4,6,0
16,5,1,5,4,5,5,8,4,6,0
17,5,2,5,4,4,3,9,4,6,0
18,5,1,5,4,4,3,2,4,6,0
19,4,1,3,2,4,2,9,4,6,0
20,5,1,5,3,5,2,9,4,2,0
21,5,1,5,3,4,2,9,4,2,0
22,5,1,5,2,5,2,9,4,2,0
23,5,1,5,2,4,2,3,4,2,0
24,5,1,5,2,5,3,8,4,2,0
25,5,1,4,2,4,2,3,4,7,0
26,5,3,5,3,4,3,9,4,2,0
27,5,4,5,3,5,2,4,4,7,0
28,5,1,5,3,4,4,3,4,7,0
29,5,1,5,3,5,3,5,4,7,0
30,5,3,5,3,5,1,1,4,2,0
31,5,1,5,3,4,2,9,4,7,0
32,5,2,5,3,3,5,9,4,7,0
33,5,1,5,3,4,4,3,4,7,0
34,5,2,5,3,3,4,3,4,7,0
35,5,2,5,3,5,4,4,4,2,0
36,5,2,5,3,5,3,4,4,7,0
37,5,2,5,3,5,3,5,4,7,0
38,5,2,5,3,5,1,1,4,7,0
39,5,2,5,3,2,2,3,3,9,0
40,5,1,5,2,5,5,8,4,7,0
41,5,1,5,3,3,2,3,4,2,0
42,1,2,5,2,3,1,1,3,1,0
43,5,1,5,3,4,1,2,4,3,0
44,5,1,5,3,5,2,2,4,3,0
45,5,1,5,3,4,2,4,4,3,0
46,2,1,5,4,3,6,4,4,6,1
47,1,2,1,4,2,3,7,5,2,1
48,2,3,5,4,2,1,7,5,9,1
49,2,1,1,4,3,5,4,5,2,1
50,3,3,1,4,1,5,9,1,6,1
51,5,1,5,4,3,4,5,4,9,1
52,5,1,5,4,3,5,2,5,7,1
53,5,2,5,4,1,2,5,4,6,1
54,2,3,1,2,4,7,5,5,3,1
55,2,4,1,2,3,5,5,4,3,1
56,2,1,1,2,2,6,7,5,7,1
57,2,1,1,2,3,7,5,5,7,1
58,2,1,1,2,1,4,9,2,3,1
59,2,1,4,2,2,3,8,2,3,1
60,5,3,5,3,2,2,4,4,6,1
61,2,1,1,3,2,7,7,4,2,1
62,2,1,1,3,1,5,7,2,2,1
63,2,1,4,3,2,6,6,4,6,1
64,1,5,5,4,2,5,6,7,9,1
65,1,1,2,4,1,6,6,5,6,1
66,1,1,2,4,1,8,5,5,6,1
67,1,1,2,4,1,6,5,5,6,1
68,1,3,1,4,1,8,5,1,2,1
69,1,2,5,4,3,4,9,4,2,1
70,1,5,5,4,1,6,5,5,2,1
71,1,3,5,4,1,7,5,1,6,1
72,1,5,5,2,2,3,7,5,5,1
73,1,4,3,4,2,5,4,5,6,1
74,1,5,2,2,2,5,5,1,7,1
75,1,3,1,2,1,7,5,5,7,1
76,1,3,1,2,1,6,6,5,7,1
77,1,1,2,2,2,5,6,5,6,1
78,1,1,1,4,2,4,8,5,2,1
79,1,1,1,4,1,4,8,5,2,1
80,1,1,5,2,2,6,6,5,7,1
81,1,1,3,2,2,6,4,5,7,1
82,1,5,1,2,1,5,6,5,6,1
83,1,1,1,3,3,7,3,4,2,1
84,1,1,3,2,2,4,7,1,7,1
85,1,1,2,2,2,4,5,1,2,1
86,1,1,2,2,1,4,7,5,2,1
87,1,4,5,3,2,6,5,4,2,1
88,1,1,3,3,1,6,6,4,6,1
89,1,2,1,2,1,5,5,5,7,1
90,2,1,1,2,1,1,4,4,7,1
91,1,1,1,3,3,8,3,4,2,1
